id,name,alias,name_en,category,kcal,protein,fat,carb,sodium
I0100101,去骨牛小排,"肥牛肉,小肋排",Boneless short rib,肉類,290.0,17.1,24.0,0.0,59.0
I0100102,帶骨牛小排,牛仔骨,Bone-in short rib,肉類,360.0,13.1,33.7,0.4,62.0
I0100103,無骨牛小排(美牛),,,肉類,335.0,15.6,29.8,0.2,53.0
I0100201,牛肋條,"腩條,條肉",Rib fingers; Intercostal meat,肉類,225.0,18.6,16.2,1.1,81.0
I0100202,牛肋條(2021年取樣),,Beef Ribs,肉類,358.0,15.7,32.3,0.3,39.0
I0100301,沙朗牛排,"里肌,大里肌,肋眼,修清肋眼肉;修清肉眼","Ribeye roll, lip-on; Cube roll",肉類,162.0,20.4,8.3,1.5,46.0
I0102101,板腱,板腱牛排;白蘭地牛排;上肩胛脊底肌,Top blade muscle,肉類,166.0,19.8,9.0,0.2,70.0
I0102201,牛去骨肩胛小排,肥牛肉,Boneless chuck (short) rib,肉類,233.0,16.9,17.9,1.2,53.0
I0104101,牛前胸肉,"去骨前胸肉,牛腩","Brisket; Brisket, boneless, deckle-off",肉類,331.0,14.8,29.7,0.0,58.0
I0104201,牛修清前胸肉,"修清牛腩,修清前胸腋肌","Pectoral meat; Brisket, nose-off",肉類,120.0,22.3,2.8,0.9,45.0
I0106101,去骨紐約克牛排,"外條,西冷,去骨前腰脊肉",New York steak(cut); Steak ready strip loin; Boneless strip loin,肉類,200.0,21.3,12.0,0.0,49.0
I0106201,腓力牛排,"菲力牛排,牛柳,小里肌,腰內肉,去脂腰里肌肉,全修清去膜腰裡脊肉","Filet mignon; Tenderloin; Tenderloin, side muscle off, skinned",肉類,184.0,20.6,10.7,0.1,47.0
I0108101,牛後腿肉,,Beef round; Beef ham,肉類,122.0,19.4,4.3,3.7,58.0
I0108201,牛後腿股肉,"和尚頭,牛霖",Knuckle,肉類,153.0,20.6,7.2,0.8,48.0
I0108301,牛後腿腱子心,"牛腱,腱子",Hind shank; Heel muscle; Beef shank,肉類,139.0,19.8,6.0,0.0,79.0
I0108302,牛後腿腱子心(2022年取樣),"牛腱,腱子",Hind shank; Heel muscle; Beef shank,肉類,151.0,23.7,5.5,4.0,63.0
I01101,牛肉火鍋片平均值,,,肉類,250.0,19.1,18.7,0.0,48.0
I0110101,牛五花肉火鍋片,,,肉類,430.0,15.7,40.3,0.0,45.0
